cell_id,cell_type,batch,split
human3_lib1.final_cell_0788,beta,inDrop3,train
HP1504101T2D_G1,alpha,smartseq2,train
human1_lib3.final_cell_0232,delta,inDrop1,test
human3_lib4.final_cell_0247,alpha,inDrop3,train
HP1508501T2D_C13,alpha,smartseq2,train
human1_lib2.final_cell_0479,beta,inDrop1,train
human3_lib4.final_cell_0794,acinar,inDrop3,train
HP1504901_E6,ductal,smartseq2,test
human3_lib1.final_cell_0673,beta,inDrop3,train
human3_lib4.final_cell_0418,acinar,inDrop3,train
human3_lib1.final_cell_0488,ductal,inDrop3,train
HP1502401_N8,beta,smartseq2,train
human3_lib1.final_cell_0801,beta,inDrop3,train
human3_lib3.final_cell_0497,alpha,inDrop3,train
HP1504101T2D_B11,alpha,smartseq2,train
human1_lib1.final_cell_0133,beta,inDrop1,train
HP1506401_C9,beta,smartseq2,train
D29-8_63,ductal,celseq2,test
human3_lib4.final_cell_0891,alpha,inDrop3,validation
D29-1_72,gamma,celseq2,train
human2_lib1.final_cell_0284,ductal,inDrop2,train
human4_lib3.final_cell_0261,ductal,inDrop4,train
human2_lib2.final_cell_0537,alpha,inDrop2,test
human3_lib2.final_cell_0774,acinar,inDrop3,train
human2_lib3.final_cell_0072,alpha,inDrop2,train
Sample_493,alpha,smarter,train
HP1508501T2D_L18,alpha,smartseq2,validation
human3_lib4.final_cell_0462,beta,inDrop3,train
Sample_959,alpha,smarter,train
human1_lib2.final_cell_0610,endothelial,inDrop1,train
AZ_B11,alpha,smartseq2,test
HP1504101T2D_F13,gamma,smartseq2,validation
Sample_402,alpha,smarter,train
HP1504101T2D_A8,alpha,smartseq2,train
D28-8_26,delta,celseq2,train
human3_lib1.final_cell_0559,beta,inDrop3,train
D30-4_65,mast,celseq2,test
D31-2_36,delta,celseq2,train
human2_lib3.final_cell_0073,alpha,inDrop2,train
Sample_1500,alpha,smarter,train
human1_lib3.final_cell_0492,beta,inDrop1,train
D2ex_62,ductal,celseq,train
Sample_1396,alpha,smarter,train
D31-5_71,delta,celseq2,validation
D1713_87,ductal,celseq,test
D1713_21,alpha,celseq,train
Sample_927,beta,smarter,train
