true_label,acinar,activated_stellate,alpha,beta,delta,ductal,endothelial,epsilon,gamma,macrophage,mast,quiescent_stellate,schwann,t_cell
acinar,247,0,1,0,0,1,0,0,0,0,0,1,0,0
activated_stellate,0,66,0,1,0,0,0,0,0,0,0,3,0,0
alpha,0,1,819,3,0,1,0,0,0,0,0,0,0,0
beta,0,0,2,614,6,1,0,0,2,0,0,0,0,0
delta,0,0,0,2,156,0,0,0,0,0,0,0,0,0
ductal,3,0,1,0,0,317,0,0,0,0,0,0,0,0
endothelial,0,0,0,0,0,0,47,0,0,0,0,0,0,0
epsilon,0,0,0,0,1,0,0,4,0,0,0,0,0,0
gamma,0,0,1,0,0,0,0,0,104,0,0,0,0,0
macrophage,0,0,0,0,0,0,0,0,0,12,0,0,0,0
mast,0,0,1,0,0,0,0,0,0,0,5,0,0,0
quiescent_stellate,0,2,0,0,0,0,0,0,0,0,0,27,0,0
schwann,0,0,0,0,0,0,1,0,0,0,0,0,3,0
t_cell,0,0,0,0,0,0,0,0,0,0,0,0,0,1
