true_label,acinar,activated_stellate,alpha,beta,delta,ductal,endothelial,epsilon,gamma,macrophage,mast,quiescent_stellate,schwann,t_cell
acinar,0.988,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0
activated_stellate,0.0,0.9428571428571428,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.0
alpha,0.0,0.0012135922330097086,0.9939320388349514,0.0036407766990291263,0.0,0.0012135922330097086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta,0.0,0.0,0.0032,0.9824,0.0096,0.0016,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0
delta,0.0,0.0,0.0,0.012658227848101266,0.9873417721518988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ductal,0.009345794392523364,0.0,0.003115264797507788,0.0,0.0,0.9875389408099688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
endothelial,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epsilon,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
gamma,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.9904761904761905,0.0,0.0,0.0,0.0,0.0
macrophage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mast,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
quiescent_stellate,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9310344827586207,0.0,0.0
schwann,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0
t_cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
