method,batch,split,n_cells,accuracy,macro_precision,macro_recall,macro_f1,status,notes
logistic_regression_svd50,celseq,test_batch:celseq,150,0.9866666666666667,0.9928703703703703,0.9928703703703703,0.9928703703703703,complete,
logistic_regression_svd50,celseq2,test_batch:celseq2,355,0.9915492957746479,0.9886837121212121,0.9785852445426915,0.9824175430975582,complete,
logistic_regression_svd50,fluidigmc1,test_batch:fluidigmc1,84,0.9404761904761905,0.8722462722462723,0.8419753086419752,0.85315348883424,complete,
logistic_regression_svd50,inDrop1,test_batch:inDrop1,293,0.9863481228668942,0.9900807611720924,0.9700331012831013,0.9786952861952862,complete,
logistic_regression_svd50,inDrop2,test_batch:inDrop2,267,0.9737827715355806,0.886545407636739,0.8831322272498744,0.8848198370257193,complete,
logistic_regression_svd50,inDrop3,test_batch:inDrop3,557,0.9910233393177738,0.8542222222222222,0.8986803784450843,0.8687210185392004,complete,
logistic_regression_svd50,inDrop4,test_batch:inDrop4,189,0.9894179894179894,0.9830316742081449,0.9965753424657534,0.98947601010101,complete,
logistic_regression_svd50,smarter,test_batch:smarter,212,0.9952830188679245,0.9959677419354839,0.9981481481481481,0.997038111645057,complete,
logistic_regression_svd50,smartseq2,test_batch:smartseq2,350,0.9828571428571429,0.9687510928484,0.9792832167832168,0.9736749108373683,complete,
scgpt_embedding_logreg,celseq,test_batch:celseq,150,0.9733333333333334,0.9639423076923077,0.9752810846560847,0.96847792427069,complete,
scgpt_embedding_logreg,celseq2,test_batch:celseq2,355,0.9746478873239437,0.971229872441581,0.9626717506706647,0.9653228893312416,complete,
scgpt_embedding_logreg,fluidigmc1,test_batch:fluidigmc1,84,0.9166666666666666,0.6871492704826038,0.6810405643738977,0.6758445258445258,complete,
scgpt_embedding_logreg,inDrop1,test_batch:inDrop1,293,0.9726962457337884,0.9746468164618319,0.954480616980617,0.9632028619528619,complete,
scgpt_embedding_logreg,inDrop2,test_batch:inDrop2,267,0.9625468164794008,0.896518720571844,0.8848178137651822,0.8904600751967561,complete,
scgpt_embedding_logreg,inDrop3,test_batch:inDrop3,557,0.9802513464991023,0.8089568839057144,0.8718874116353578,0.8319569174582937,complete,
scgpt_embedding_logreg,inDrop4,test_batch:inDrop4,189,0.9576719576719577,0.9417892761923571,0.9612997233930453,0.950455143882374,complete,
scgpt_embedding_logreg,smarter,test_batch:smarter,212,0.9716981132075472,0.9233945950643031,0.8986815855668314,0.9102932495312175,complete,
scgpt_embedding_logreg,smartseq2,test_batch:smartseq2,350,0.9771428571428571,0.9622354982589758,0.9865384615384615,0.9725873556081538,complete,
scimilarity_embedding_logreg,celseq,test_batch:celseq,150,0.96,0.8592047930283224,0.8677630805408583,0.862446036707095,complete,
scimilarity_embedding_logreg,celseq2,test_batch:celseq2,355,0.971830985915493,0.9634113965744401,0.971242980507514,0.9646014854141982,complete,
scimilarity_embedding_logreg,fluidigmc1,test_batch:fluidigmc1,84,0.9404761904761905,0.6656912442396313,0.6911111111111111,0.6765709008147244,complete,
scimilarity_embedding_logreg,inDrop1,test_batch:inDrop1,293,0.9726962457337884,0.9485574117927059,0.9354891823641823,0.939370590988238,complete,
scimilarity_embedding_logreg,inDrop2,test_batch:inDrop2,267,0.9700374531835206,0.8344129554655871,0.8334546733026605,0.8338626682518085,complete,
scimilarity_embedding_logreg,inDrop3,test_batch:inDrop3,557,0.9856373429084381,0.9427352685424831,0.9862510479989942,0.9603572450413993,complete,
scimilarity_embedding_logreg,inDrop4,test_batch:inDrop4,189,0.9470899470899471,0.7857962697274031,0.7684865648050578,0.7763794797545046,complete,
scimilarity_embedding_logreg,smarter,test_batch:smarter,212,0.9858490566037735,0.9395833333333333,0.9899514268366727,0.9630477234593134,complete,
scimilarity_embedding_logreg,smartseq2,test_batch:smartseq2,350,0.9657142857142857,0.8351190476190475,0.8478920291121248,0.8295948115117128,complete,
scfoundation_embedding_logreg,celseq,test_batch:celseq,150,0.9733333333333334,0.8789584799437016,0.8758465608465609,0.8771693633395761,complete,
scfoundation_embedding_logreg,celseq2,test_batch:celseq2,355,0.9887323943661972,0.8956604563072585,0.8839243498817968,0.8884955531112433,complete,
scfoundation_embedding_logreg,fluidigmc1,test_batch:fluidigmc1,84,0.9404761904761905,0.6960943278147579,0.7551146384479718,0.7163168242403215,complete,
scfoundation_embedding_logreg,inDrop1,test_batch:inDrop1,293,0.9726962457337884,0.9759102069957333,0.9515245358995359,0.961095177970178,complete,
scfoundation_embedding_logreg,inDrop2,test_batch:inDrop2,267,0.9887640449438202,0.9125,0.9131410256410257,0.9128018295925965,complete,
scfoundation_embedding_logreg,inDrop3,test_batch:inDrop3,557,0.9802513464991023,0.9329445568970139,0.9334426749720867,0.9330126314652951,complete,
scfoundation_embedding_logreg,inDrop4,test_batch:inDrop4,189,0.9735449735449735,0.9743107769423559,0.9812412188268352,0.9765563969434595,complete,
scfoundation_embedding_logreg,smarter,test_batch:smarter,212,1.0,1.0,1.0,1.0,complete,
scfoundation_embedding_logreg,smartseq2,test_batch:smartseq2,350,0.9857142857142858,0.9734924432292853,0.9887788137788138,0.9803232335033257,complete,
