cell_type,logistic_regression_svd50,scgpt_embedding_logreg,scimilarity_embedding_logreg,scfoundation_embedding_logreg
acinar,0.988,0.9859719438877756,0.9740518962075848,0.979757085020243
activated_stellate,0.9496402877697842,0.9645390070921984,0.9565217391304348,0.9496402877697842
alpha,0.9933292904790784,0.9872804360993336,0.9878345498783456,0.9933534743202416
beta,0.9863453815261044,0.9748987854251012,0.9781376518218624,0.986323411102172
delta,0.97196261682243,0.8963414634146342,0.9476923076923076,0.959752321981424
ductal,0.9890795631825272,0.982839313572543,0.9686520376175548,0.9736434108527132
endothelial,0.9894736842105264,0.9894736842105264,1.0,0.9791666666666666
epsilon,0.8888888888888888,0.8888888888888888,0.4,0.8
gamma,0.985781990521327,0.8867924528301887,0.9181818181818182,0.985645933014354
macrophage,1.0,1.0,0.9565217391304348,1.0
mast,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.8
quiescent_stellate,0.9,0.9333333333333332,0.9,0.912280701754386
schwann,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.8571428571428571
t_cell,1.0,1.0,0.6666666666666666,1.0
