true_label,acinar,activated_stellate,alpha,beta,delta,ductal,endothelial,epsilon,gamma,macrophage,mast,quiescent_stellate,schwann,t_cell
acinar,242,0,1,1,0,6,0,0,0,0,0,0,0,0
activated_stellate,0,66,0,0,0,0,2,0,0,0,0,2,0,0
alpha,0,1,822,1,0,0,0,0,0,0,0,0,0,0
beta,0,0,2,613,8,1,0,0,1,0,0,0,0,0
delta,0,0,0,3,155,0,0,0,0,0,0,0,0,0
ductal,2,1,3,0,0,314,0,1,0,0,0,0,0,0
endothelial,0,0,0,0,0,0,47,0,0,0,0,0,0,0
epsilon,0,0,0,0,1,0,0,4,0,0,0,0,0,0
gamma,0,0,1,0,1,0,0,0,103,0,0,0,0,0
macrophage,0,0,0,0,0,0,0,0,0,12,0,0,0,0
mast,0,0,1,0,0,1,0,0,0,0,4,0,0,0
quiescent_stellate,0,1,1,0,0,1,0,0,0,0,0,26,0,0
schwann,0,0,0,0,0,1,0,0,0,0,0,0,3,0
t_cell,0,0,0,0,0,0,0,0,0,0,0,0,0,1
