true_label,acinar,activated_stellate,alpha,beta,delta,ductal,endothelial,epsilon,gamma,macrophage,mast,quiescent_stellate,schwann,t_cell
acinar,0.968,0.0,0.004,0.004,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activated_stellate,0.0,0.9428571428571428,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
alpha,0.0,0.0012135922330097086,0.9975728155339806,0.0012135922330097086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta,0.0,0.0,0.0032,0.9808,0.0128,0.0016,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0
delta,0.0,0.0,0.0,0.0189873417721519,0.9810126582278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ductal,0.006230529595015576,0.003115264797507788,0.009345794392523364,0.0,0.0,0.9781931464174455,0.0,0.003115264797507788,0.0,0.0,0.0,0.0,0.0,0.0
endothelial,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epsilon,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
gamma,0.0,0.0,0.009523809523809525,0.0,0.009523809523809525,0.0,0.0,0.0,0.9809523809523809,0.0,0.0,0.0,0.0,0.0
macrophage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mast,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
quiescent_stellate,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.896551724137931,0.0,0.0
schwann,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
t_cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
