cell_type,precision,recall,f1,support
acinar,0.9918032786885246,0.968,0.979757085020243,250
activated_stellate,0.9565217391304348,0.9428571428571428,0.9496402877697842,70
alpha,0.9891696750902527,0.9975728155339806,0.9933534743202417,824
beta,0.9919093851132686,0.9808,0.9863234111021721,625
delta,0.9393939393939394,0.9810126582278481,0.9597523219814241,158
ductal,0.9691358024691358,0.9781931464174455,0.9736434108527132,321
endothelial,0.9591836734693877,1.0,0.9791666666666666,47
epsilon,0.8,0.8,0.8,5
gamma,0.9903846153846154,0.9809523809523809,0.9856459330143541,105
macrophage,1.0,1.0,1.0,12
mast,1.0,0.6666666666666666,0.8,6
quiescent_stellate,0.9285714285714286,0.896551724137931,0.9122807017543859,29
schwann,1.0,0.75,0.8571428571428571,4
t_cell,1.0,1.0,1.0,1
