true_label,acinar,activated_stellate,alpha,beta,delta,ductal,endothelial,epsilon,gamma,macrophage,mast,quiescent_stellate,schwann,t_cell
acinar,246,0,0,0,0,3,0,0,0,0,0,1,0,0
activated_stellate,0,68,0,0,0,0,0,0,0,0,0,2,0,0
alpha,0,1,815,2,1,1,0,0,4,0,0,0,0,0
beta,0,0,2,602,17,1,0,0,3,0,0,0,0,0
delta,0,0,2,4,147,0,0,0,5,0,0,0,0,0
ductal,3,0,1,0,0,315,1,0,1,0,0,0,0,0
endothelial,0,0,0,0,0,0,47,0,0,0,0,0,0,0
epsilon,0,0,0,0,1,0,0,4,0,0,0,0,0,0
gamma,0,0,5,2,4,0,0,0,94,0,0,0,0,0
macrophage,0,0,0,0,0,0,0,0,0,12,0,0,0,0
mast,0,0,1,0,0,0,0,0,0,0,5,0,0,0
quiescent_stellate,0,1,0,0,0,0,0,0,0,0,0,28,0,0
schwann,0,1,1,0,0,0,0,0,0,0,0,0,2,0
t_cell,0,0,0,0,0,0,0,0,0,0,0,0,0,1
