true_label,acinar,activated_stellate,alpha,beta,delta,ductal,endothelial,epsilon,gamma,macrophage,mast,quiescent_stellate,schwann,t_cell
acinar,0.984,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0
activated_stellate,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
alpha,0.0,0.0012135922330097086,0.9890776699029126,0.0024271844660194173,0.0012135922330097086,0.0012135922330097086,0.0,0.0,0.0048543689320388345,0.0,0.0,0.0,0.0,0.0
beta,0.0,0.0,0.0032,0.9632,0.0272,0.0016,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,0.0
delta,0.0,0.0,0.012658227848101266,0.02531645569620253,0.930379746835443,0.0,0.0,0.0,0.03164556962025317,0.0,0.0,0.0,0.0,0.0
ductal,0.009345794392523364,0.0,0.003115264797507788,0.0,0.0,0.9813084112149533,0.003115264797507788,0.0,0.003115264797507788,0.0,0.0,0.0,0.0,0.0
endothelial,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epsilon,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
gamma,0.0,0.0,0.047619047619047616,0.01904761904761905,0.0380952380952381,0.0,0.0,0.0,0.8952380952380953,0.0,0.0,0.0,0.0,0.0
macrophage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mast,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
quiescent_stellate,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9655172413793104,0.0,0.0
schwann,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
t_cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
