cell_type,precision,recall,f1,support
acinar,0.9879518072289156,0.984,0.9859719438877755,250
activated_stellate,0.9577464788732394,0.9714285714285714,0.9645390070921985,70
alpha,0.9854897218863361,0.9890776699029126,0.9872804360993337,824
beta,0.9868852459016394,0.9632,0.9748987854251012,625
delta,0.8647058823529412,0.930379746835443,0.8963414634146342,158
ductal,0.984375,0.9813084112149533,0.982839313572543,321
endothelial,0.9791666666666666,1.0,0.9894736842105263,47
epsilon,1.0,0.8,0.8888888888888888,5
gamma,0.8785046728971962,0.8952380952380953,0.8867924528301887,105
macrophage,1.0,1.0,1.0,12
mast,1.0,0.8333333333333334,0.9090909090909091,6
quiescent_stellate,0.9032258064516129,0.9655172413793104,0.9333333333333333,29
schwann,1.0,0.5,0.6666666666666666,4
t_cell,1.0,1.0,1.0,1
