true_label,acinar,activated_stellate,alpha,beta,delta,ductal,endothelial,epsilon,gamma,macrophage,mast,quiescent_stellate,schwann,t_cell
acinar,0.976,0.0,0.004,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activated_stellate,0.0,0.9428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0
alpha,0.0,0.0,0.9854368932038835,0.0036407766990291263,0.0,0.0012135922330097086,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0
beta,0.0,0.0,0.0032,0.9664,0.0192,0.0016,0.0,0.0016,0.008,0.0,0.0,0.0,0.0,0.0
delta,0.0,0.0,0.0,0.012658227848101266,0.9746835443037974,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0
ductal,0.021806853582554516,0.0,0.006230529595015576,0.003115264797507788,0.0,0.9626168224299065,0.0,0.003115264797507788,0.0,0.0,0.0,0.0,0.0,0.003115264797507788
endothelial,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epsilon,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0
gamma,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.02857142857142857,0.9619047619047619,0.0,0.0,0.0,0.0,0.0
macrophage,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0
mast,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
quiescent_stellate,0.0,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.9310344827586207,0.0,0.0
schwann,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
t_cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
