cell_type,precision,recall,f1,support
acinar,0.9721115537848606,0.976,0.9740518962075848,250
activated_stellate,0.9705882352941176,0.9428571428571428,0.9565217391304348,70
alpha,0.9902439024390244,0.9854368932038835,0.9878345498783455,824
beta,0.9901639344262295,0.9664,0.9781376518218623,625
delta,0.9221556886227545,0.9746835443037974,0.9476923076923077,158
ductal,0.9747634069400631,0.9626168224299065,0.9686520376175548,321
endothelial,1.0,1.0,1.0,47
epsilon,0.3,0.6,0.4,5
gamma,0.8782608695652174,0.9619047619047619,0.9181818181818182,105
macrophage,1.0,0.9166666666666666,0.9565217391304348,12
mast,1.0,0.8333333333333334,0.9090909090909091,6
quiescent_stellate,0.8709677419354839,0.9310344827586207,0.9,29
schwann,1.0,0.75,0.8571428571428571,4
t_cell,0.5,1.0,0.6666666666666666,1
