cell_type,precision,recall,f1,support
acinar,0.9356223175965666,0.872,0.9026915113871635,250
alpha,0.9614457831325302,0.9684466019417476,0.9649334945586457,824
beta,0.8150208623087621,0.9376,0.8720238095238095,625
delta,0.9777777777777777,0.27848101265822783,0.43349753694581283,158
ductal,0.8636363636363636,0.4735202492211838,0.6116700201207244,321
endothelial,0.7666666666666667,0.9787234042553191,0.8598130841121495,47
epsilon,0.0,0.0,0.0,5
gamma,0.0,0.0,0.0,105
macrophage,1.0,0.75,0.8571428571428571,12
mast,1.0,0.6666666666666666,0.8,6
schwann,0.0,0.0,0.0,4
stellate,1.0,0.35353535353535354,0.5223880597014925,99
t_cell,1.0,1.0,1.0,1
